marca,model,pret,an,km,combustibil,cutie,caroserie,capacitate_cc,putere_cp,pret_per_cp,pret_per_cc,km_per_year
BMW,Seria,0.15482449092036088,2025,0.30824827062067656,Hibrid Plug-In,Automata,Monovolum,0.3338888888888889,0.3957055214723927,0.018619254846032343,0.20645184177787415,0.31956903516206314
Skoda,Octavia,0.17100943547831676,2019,0.48764371910929777,Diesel,Automata,Sedan,0.5944444444444446,0.4355828220858896,0.018783071967007264,0.17369349951970753,0.07222152127408805
Skoda,Octavia,0.13485158061479832,2025,0.5623089057722644,Diesel,Manuala,Combi,0.5944444444444446,0.4386503067484663,0.014713315410509253,0.13696577859899403,0.5829583224515763
Mercedes-Benz,E,0.08032783121742923,2012,0.5999989999975,Diesel,Automata,Sedan,0.6916666666666667,0.5,0.007738559129553313,0.07491899430585994,0.04443073911158384
Volkswagen,Passat,0.0860556945751739,2025,0.6224990562476406,Benzina,Automata,Combi,0.2733333333333333,0.35276073619631904,0.011527093605699298,0.12374837099692278,0.6453585476029414
Dacia,Duster,0.18937533001216741,2021,0.31680079200198,Diesel,Manuala,SUV,0.3127777777777778,0.33128834355828224,0.02689809674675508,0.2590919271044497,0.06568699599932491
Renault,Clio,0.09581257604628206,2025,0.419998549996375,Diesel,Manuala,Combi,0.3127777777777778,0.25460122699386506,0.017348347300911074,0.13108349670012553,0.4354225849322084
Dacia,Sandero,0.11705962028513052,2025,0.30808827022067553,Benzina + GPL,Manuala,Compacta,0.05611111111111111,0.25460122699386506,0.02119529373781699,0.23420368877033448,0.3194031598335332
BMW,Seria,0.29268348676507727,2025,0.5474988687471719,Hibrid Plug-In,Automata,Sedan,0.6111111111111112,0.8742331288343559,0.016456327964317854,0.29282182994086436,0.5676044873545217
Renault,Talisman,0.22943593746412913,2025,0.2182205455513639,Diesel,Automata,Combi,0.6105555555555555,0.46932515337423314,0.023478720709386114,0.22965684189960328,0.22623565304186843
Mercedes-Benz,A,0.28119332399733693,2023,0.05455013637534094,Benzina,Automata,Compacta,0.24111111111111116,0.3957055214723927,0.03381697410007393,0.4219636695783631,0.018851751415289063
Volvo,XC,0.35006542849927685,2025,0.6224990562476406,Diesel,Automata,SUV,0.595,0.6993865030674847,0.024437884322353724,0.3553909398058647,0.6453585476029414
BMW,Seria,0.27489152643540943,2025,0.42749856874642184,Benzina,Automata,Sedan,0.6111111111111112,0.4570552147239264,0.028847302766689183,0.2750207619303424,0.44319799095705037
Ford,Kuga,0.1319704309098005,2020,0.405276013190033,Diesel,Manuala,SUV,0.3338888888888889,0.34662576687116564,0.017969778299063766,0.1759763630979531,0.0700264501017892
Volkswagen,Golf,0.041300305332996626,2008,0.6249990624976562,Diesel,Manuala,Masina mica,0.5544444444444445,0.3006134969325154,0.00641970667701204,0.04353372155812025,0.03599709765606743
Audi,Q4,0.35581624922518884,2027,0.05574763936909842,Electric,Automata,SUV,0.6018489494605339,0.5,0.03428255152880175,0.35898204804671063,0.057797032325716945
Volvo,XC,0.1205032255102275,2011,0.5393988484971213,Diesel,Automata,SUV,0.8344444444444445,0.4785276073619632,0.012105234708443905,0.10035832577777674,0.03728032762816728
Ford,Ranger,0.13198190959388414,2025,0.2466231165577914,Diesel,Manuala,SUV,0.7222222222222223,0.4386503067484663,0.014400192983614144,0.12002266596681832,0.255681115657945
Ford,Mondeo,0.051631121008287616,2025,0.6749991874979687,Diesel,Manuala,Combi,0.6105555555555555,0.4079754601226994,0.006032495788289563,0.0516719436943889,0.6997863897768352
Volvo,XC,0.2869326660391653,2025,0.5974989937474844,Diesel,Automata,SUV,0.595,0.6993865030674847,0.02003028812682174,0.2912957352021214,0.6194405275201349
Ford,Puma,0.2519341582680962,2025,0.0,Benzina,Automata,SUV,0.05611111111111111,0.3619631901840491,0.03294350191223252,0.5040368390919263,2.439343066617087e-06
Volkswagen,Passat,0.14918845703528547,2025,0.5224988062470156,Hibrid Plug-In,Automata,Combi,0.2761111111111111,0.647239263803681,0.011222352077190518,0.21376570068050202,0.5416864672717152
Renault,Scenic,0.05735898436603228,2025,0.5999989999975,Benzina,Manuala,Monovolum,0.27722222222222226,0.37730061349693256,0.007213665188251255,0.08206857885256984,0.6220323295284155
Skoda,Octavia,0.19396680364563007,2021,0.24624811562028906,Diesel,Manuala,Sedan,0.5944444444444446,0.33128834355828224,0.027550255180702133,0.19701268740587485,0.05105834710418724
Skoda,Kodiaq,0.26226497394338716,2025,0.20592551481378704,Benzina,Automata,SUV,0.33333333333333337,0.4386503067484663,0.028615951164652032,0.34995521660997947,0.21348917076514418
Mercedes-Benz,A,0.21233269817948072,2025,0.2892482231205578,Diesel,Automata,Compacta,0.5844444444444445,0.4386503067484663,0.02316762093667716,0.21765872925656773,0.2998713398991302
Dacia,Logan,0.04359604214972796,2015,0.4624986562466406,Benzina,Manuala,Masina de oras,0.13944444444444448,0.20858895705521474,0.009452858638671442,0.07584238109432302,0.04358924495305117
Mercedes-Benz,GLC,0.4155054064602034,2025,0.31458578646446617,Diesel,Automata,SUV,0.5844444444444445,0.5736196319018405,0.03510609590836817,0.42593814963234494,0.3261392532530546
Mercedes-Benz,CLA,0.15470970407952434,2014,0.5367563418908547,Diesel,Automata,Sedan,0.49888888888888894,0.3957055214723927,0.018605450032467042,0.17218556690914824,0.04637215308971513
Volkswagen,Passat,0.09179503661700222,1968,0.5674989187472969,Diesel,Automata,Coupe,0.5944444444444446,0.5,0.008843452813172031,0.09323064171848724,0.011535907460268311
Audi,A1,0.11418994926421636,2012,0.4085285213213033,Diesel,Automata,Masina mica,0.38888888888888895,0.3343558282208589,0.016080349048611997,0.1428333612916477,0.03025210109656965
Volkswagen,Passat,0.053915379140935284,2025,0.6012490031225078,Diesel,Manuala,Combi,0.5944444444444446,0.4079754601226994,0.006299418222495835,0.054753981706311176,0.6233282305325558
Volvo,Altul,0.06712734452122408,2011,0.5124987812469531,Diesel,Manuala,Combi,0.36777777777777776,0.32822085889570557,0.009617315982884176,0.08600878009188331,0.03542114165422729
Volvo,S90,0.24091462154778576,2017,0.4224985562463906,Diesel,Automata,Sedan,0.595,0.5613496932515337,0.020780611625387354,0.24457615788277454,0.048668129696550634
Dacia,Duster,0.07917996280906357,2025,0.5049987624969062,Diesel,Manuala,SUV,0.3127777777777778,0.3128834355828221,0.011859916131239653,0.10832748938128543,0.5235438532137506
BMW,X1,0.1410500700199729,2016,0.6674991687479218,Diesel,Automata,SUV,0.6094444444444445,0.4386503067484663,0.015389659852602685,0.1413229981885712,0.06920096116215183
Audi,A4,0.22498220803967034,2025,0.3824984562461406,Diesel,Automata,Combi,0.5944444444444446,0.5613496932515337,0.019406230406369726,0.22851691024008688,0.3965455548079986
Mercedes-Benz,GLC,0.30875364448219655,2025,0.33999834999587497,Benzina,Automata,SUV,0.6072222222222223,0.6257668711656442,0.02399414598427387,0.30998615482074987,0.3524849206672274
Dacia,Duster,0.14908514887853258,2021,0.37499843749609374,Diesel,Manuala,SUV,0.3127777777777778,0.33128834355828224,0.0211754064888697,0.20396867956191778,0.07775390778947798
Audi,A7,0.485525379370509,2025,0.35151087877719694,Hibrid Plug-In,Automata,Sedan,0.6033333333333333,0.0,1.0,0.4891897493006355,0.3644201689153599
Mercedes-Benz,C,0.29841135012282194,2025,0.23499808749521872,Diesel,Automata,Sedan,0.5844444444444445,0.5736196319018405,0.02521238424907984,0.30590095374232784,0.24362923631943992
BMW,Seria,0.17204251704584586,2015,0.48278120695301735,Diesel,Automata,Sedan,0.6094444444444445,0.5613496932515337,0.014839482436550339,0.1723779299002219,0.04550081674334035
Mercedes-Benz,E,0.32126541013338233,2019,0.5424988562471406,Hibrid Plug-In,Automata,Sedan,0.6116666666666666,0.5828220858895706,0.02673209278175038,0.3212576097080775,0.08034570979775864
Mercedes-Benz,C,0.22381138226313735,2025,0.25992814982037454,Benzina,Automata,Sedan,0.33277777777777784,0.4570552147239264,0.02348672659465944,0.29884328583864017,0.26947468594601465
BMW,X1,0.1239468307353245,2025,0.5474988687471719,Diesel,Automata,SUV,0.6094444444444445,0.4171779141104295,0.01418100728478757,0.12418527661436396,0.5676044873545217
Volvo,XC,0.6736036180812233,2025,1.00000250000625e-05,Benzina,Automata,SUV,0.595,0.745398773006135,0.0442151116727061,0.6838613828897032,1.2806551099739708e-05
Skoda,Superb,0.1836359879703391,2025,0.6249990624976562,Diesel,Automata,Combi,0.5944444444444446,0.5613496932515337,0.015839572516671237,0.18651905285709955,0.6479503496112221
Volkswagen,Touran,0.05735898436603228,2006,0.6598866497166243,Diesel,Manuala,Monovolum,0.5944444444444446,0.4079754601226994,0.006701813851952527,0.05825185988923628,0.03420580249584435
Ford,Ranger,0.22943593746412913,2017,0.4624986562466406,Diesel,Automata,SUV,0.7222222222222223,0.46932515337423314,0.023478720709386114,0.2086561369694267,0.053275777711271795
Dacia,Duster,0.14334580683670425,2020,0.37499843749609374,Diesel,Manuala,SUV,0.3127777777777778,0.33128834355828224,0.020360208446435886,0.19611636509716965,0.0647948977480747
Volkswagen,T-ROC,0.1979843430749099,2025,0.14887037217593044,Benzina,Manuala,SUV,0.05611111111111111,0.3159509202453988,0.029387755633107006,0.39610357896328957,0.15433906533216307
Volkswagen,Passat,0.07457701049151726,2025,0.5739914349785874,Diesel,Manuala,Combi,0.5944444444444446,0.4079754601226994,0.008713791999235986,0.07574125080386175,0.5950698132362718
Renault,Megane,0.11464909662756262,2025,0.3497483743709359,Benzina,Manuala,Compacta,0.24111111111111116,0.33128834355828224,0.01628421823426681,0.1720444598011467,0.362592948499522
BMW,X4,0.3190729814734039,1998,0.619999049997625,Diesel,Automata,SUV,0.6094444444444445,0.6871165644171779,0.02265825172805681,0.3197048263056049,0.022955808185829853
BMW,Seria,0.3833650910259648,2022,0.24824562061405153,Hibrid Plug-In,Automata,Combi,0.6111111111111112,0.7484662576687117,0.025063254168705636,0.38354985399449243,0.06434068444612352
Skoda,Superb,0.24091462154778576,2020,0.3099982749956875,Diesel,Automata,Combi,0.5944444444444446,0.5613496932515337,0.020780611625387354,0.244700426633087,0.05356375571219187
Volvo,XC,0.3557014623843523,2019,0.19999799999499998,Hibrid Plug-In,Automata,SUV,0.595,0.9079754601226995,0.019276209575799553,0.3611128935259444,0.029620441921408683
Ford,Focus,0.10845060722238803,2025,0.5252488131220328,Diesel,Manuala,Combi,0.3338888888888889,0.34662576687116564,0.014767141414471387,0.14461310050872242,0.5445374494808239
BMW,Seria,0.13542551481898116,2013,0.7049992624981563,Diesel,Automata,Sedan,0.6094444444444445,0.5429447852760736,0.01205972978409763,0.13568710317423457,0.056222014182223314
Ford,Transit,0.1646961592323056,2019,0.5524988812472031,Diesel,Manuala,Monovolum,0.6100000000000001,0.3006134969325154,0.025599932316917078,0.1649340864823825,0.08182673951677616
Volkswagen,Passat,0.29859500906816044,2021,0.2798931997329993,Diesel,Automata,Sedan,0.5944444444444446,0.4386503067484663,0.0325800810891441,0.30328988619708236,0.058034441389675444
Ford,Ranger,0.3213801969742189,2025,0.3899984749961875,Diesel,Manuala,SUV,0.7222222222222223,0.46932515337423314,0.03288803018898616,0.29227852833937873,0.4043209608328405
