link,marca_model,marca,model,pret,an,km,combustibil,cutie,caroserie,capacitate_cc,putere_cp
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ver-2-0-tdi-bluemotion-tehnology-4motion-comfortline-ID7HFGDm.html,Volkswagen Passat 2.0 TDI BlueMotion Tehnology 4Motion Comfortline,Volkswagen,Passat 2.0 TDI BlueMotion Tehnology 4Motion Comfortline,6 700 EUR,2011,216000,Diesel,Manuala,Sedan,19683,140
https://www.autovit.ro/autoturisme/anunt/dacia-logan-ver-1-0-sce-laureate-ID7HI0K0.html,Dacia Logan 1.0 SCe Laureate,Dacia,Logan 1.0 SCe Laureate,6 750 EUR,2025,65299,Benzina,Manuala,Sedan,9983,73
https://www.autovit.ro/autoturisme/anunt/volkswagen-touareg-ver-3-0-v6-tdi-blue-motion-dpf-automatik-ID7HGD2r.html,Volkswagen Touareg 3.0 V6 TDI Blue Motion DPF Automatik,Volkswagen,Touareg 3.0 V6 TDI Blue Motion DPF Automatik,12 900 EUR,2025,269856,Diesel,Automata,SUV,29673,245
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-1-0-tsi-ambition-ID7HEHhR.html,Skoda Octavia 1.0 TSI Ambition,Skoda,Octavia 1.0 TSI Ambition,7 999 EUR,2025,222400,Benzina,Manuala,Sedan,9993,115
https://www.autovit.ro/autoturisme/anunt/audi-q5-ver-50-tfsie-quattro-s-tronic-s-line-business-ID7HED6N.html,Audi Q5 50 TFSIe quattro S tronic S line business,Audi,Q5 50 TFSIe quattro S tronic S line business,"34 998,04 EUR",2025,138000,Hibrid Plug-In,Automata,SUV,19843,299
https://www.autovit.ro/autoturisme/anunt/peugeot-3008-ver-1-2-puretech-130-bvm6-allure-pack-ID7HGTFT.html,Peugeot 3008 1.2 PureTech 130 BVM6 Allure Pack,Peugeot,3008 1.2 PureTech 130 BVM6 Allure Pack,15 950 EUR,2025,179225,Benzina,Manuala,SUV,11993,130
https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive20d-at-m-sport-ID7HHWKy.html,BMW X3 xDrive20d AT M Sport,BMW,X3 xDrive20d AT M Sport,17 499 EUR,2015,239000,Diesel,Automata,SUV,19953,190
https://www.autovit.ro/autoturisme/anunt/mini-cooper-ID7HI7kW.html,Mini Cooper,Mini,Cooper,15 900 EUR,2025,20232,Benzina,Automata,Coupe,14993,136
https://www.autovit.ro/autoturisme/anunt/mg-mg4-ver-ev-64-kwh-xpower-ID7HuE9D.html,MG MG4 EV 64 kWh XPower,MG,MG4 EV 64 kWh XPower,"33 000,33 EUR",2024,2000,Electric,Automata,Compacta,,435
https://www.autovit.ro/autoturisme/anunt/lexus-seria-rx-ver-350h-hybrid-executive-line-ID7HI68T.html,Lexus Seria RX 350h (hybrid) Executive Line,Lexus,Seria RX 350h (hybrid) Executive Line,"64 999,99 EUR",2025,16006,Hibrid,Automata,SUV,24873,250
https://www.autovit.ro/autoturisme/anunt/peugeot-2008-ver-1-2-l-puretech-turbo-s-s-allure-ID7HI2qH.html,Peugeot 2008 1.2 L PureTech Turbo S&S Allure,Peugeot,2008 1.2 L PureTech Turbo S&S Allure,6 950 EUR,2008,136920,Benzina,Manuala,SUV,11993,110
https://www.autovit.ro/autoturisme/anunt/subaru-forester-ver-2-0xt-gw-ID7HuUH4.html,Subaru Forester 2.0XT GW,Subaru,Forester 2.0XT GW,24 450 EUR,2015,155000,Benzina,Automata,SUV,19983,240
https://www.autovit.ro/autoturisme/anunt/kia-sportage-ver-2-0-crdi-awd-aut-gt-line-ID7HI6jy.html,"Kia Sportage 2,0 CRDI AWD Aut. GT Line",Kia,"Sportage 2,0 CRDI AWD Aut. GT Line",16 950 EUR,2016,167441,Diesel,Automata,SUV,19953,185
https://www.autovit.ro/autoturisme/anunt/audi-a6-ID7HEoiS.html,Audi A6,Audi,A6,27 225 EUR,2025,117000,Diesel,Automata,Combi,29673,231
https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-54-kwh-gs-ID7HECht.html,Opel Astra 54 kWh GS,Opel,Astra 54 kWh GS,27 900 EUR,2025,10500,Electric,Automata,Masina mica,,156
https://www.autovit.ro/autoturisme/anunt/bmw-seria-1-ver-118i-aut-ID7HGW8m.html,BMW Seria 1 118i Aut.,BMW,Seria 1 118i Aut.,"23 989,46 EUR",2025,24000,Benzina,Automata,SUV,14993,136
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-4-tsi-trendline-ID7HG6jb.html,Volkswagen Golf 1.4 TSI Trendline,Volkswagen,Golf 1.4 TSI Trendline,4 800 EUR,2025,204000,Benzina,Manuala,Compacta,13903,122
https://www.autovit.ro/autoturisme/anunt/ford-kuga-ver-1-5-ecoboost-2wd-titanium-ID7HHdeN.html,Ford Kuga 1.5 EcoBoost 2WD Titanium,Ford,Kuga 1.5 EcoBoost 2WD Titanium,10 900 EUR,2025,103000,Benzina,Manuala,SUV,14993,150
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-0-tsi-life-ID7HFoHS.html,Volkswagen Golf 1.0 TSI Life,Volkswagen,Golf 1.0 TSI Life,14 490 EUR,2022,140000,Benzina,Manuala,Compacta,9993,110
https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-1-5-dci-4x4-ambiance-ID7HI7t0.html,Dacia Duster 1.5 dCi 4x4 Ambiance,Dacia,Duster 1.5 dCi 4x4 Ambiance,6 800 EUR,2025,192000,Diesel,Manuala,SUV,14613,110
https://www.autovit.ro/autoturisme/anunt/dacia-spring-ID7HHYQJ.html,Dacia Spring,Dacia,Spring,7 990 EUR,2021,41533,Electric,Automata,Masina mica,,45
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HGVrs.html,Volkswagen Passat,Volkswagen,Passat,17 990 EUR,2020,143698,Benzina,Automata,Sedan,14983,150
https://www.autovit.ro/autoturisme/anunt/mazda-6-ver-kombi-skyactiv-d-175-i-eloop-sports-line-ID7HI6Ue.html,Mazda 6 Kombi SKYACTIV-D 175 i-ELOOP Sports-Line,Mazda,6 Kombi SKYACTIV-D 175 i-ELOOP Sports-Line,5 650 EUR,2013,238387,Diesel,Manuala,Combi,21913,175
https://www.autovit.ro/autoturisme/anunt/bmw-seria-4-ver-420d-xdrive-gran-coupe-m-sport-ID7HEtWa.html,BMW Seria 4 420d xDrive Gran Coupe M Sport,BMW,Seria 4 420d xDrive Gran Coupe M Sport,42 590 EUR,2025,85860,Diesel,Automata,Sedan,19953,190
https://www.autovit.ro/autoturisme/anunt/audi-q7-ver-3-0-tdi-quattro-tiptronic-ID7HI7yP.html,Audi Q7 3.0 TDI Quattro Tiptronic,Audi,Q7 3.0 TDI Quattro Tiptronic,19 999 EUR,2000,317000,Diesel,Automata,SUV,29673,272
https://www.autovit.ro/autoturisme/anunt/volkswagen-arteon-ID7HI4LE.html,Volkswagen ARTEON,Volkswagen,ARTEON,22 250 EUR,2025,123151,Benzina,Automata,Sedan,14983,150
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-ver-150-autotronic-classic-ID7HBP1o.html,Mercedes-Benz A 150 Autotronic Classic,Mercedes-Benz,A 150 Autotronic Classic,3 800 EUR,2025,165000,Benzina,Automata,Coupe,14983,95
https://www.autovit.ro/autoturisme/anunt/ford-galaxy-ver-2-0-ecoblue-aut-titanium-ID7HEcsb.html,Ford Galaxy 2.0 EcoBlue Aut. Titanium,Ford,Galaxy 2.0 EcoBlue Aut. Titanium,6 999 EUR,2025,208000,Diesel,Automata,Monovolum,19983,190
https://www.autovit.ro/autoturisme/anunt/volkswagen-t-cross-ver-1-0-tsi-dsg-style-ID7HHZzO.html,Volkswagen T-Cross 1.0 TSI DSG Style,Volkswagen,T-Cross 1.0 TSI DSG Style,20 650 EUR,2022,22700,Benzina,Automata,SUV,9993,110
https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520d-at-ID7HGJYt.html,BMW Seria 5 520d AT,BMW,Seria 5 520d AT,22 000 EUR,2017,140000,Diesel,Automata,Sedan,19953,190
https://www.autovit.ro/autoturisme/anunt/seat-exeo-ID7HqUnD.html,Seat Exeo,Seat,Exeo,6 500 EUR,2011,156000,Diesel,Manuala,Sedan,19683,120
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-glb-ver-180-d-8g-dct-ID7HB7Er.html,Mercedes-Benz GLB 180 d 8G-DCT,Mercedes-Benz,GLB 180 d 8G-DCT,"24 986,50 EUR",1950,170400,Diesel,Automata,SUV,19503,116
https://www.autovit.ro/autoturisme/anunt/citroen-c-crosser-ver-fap-exclusive-ID7HwUPc.html,Citroën C-Crosser FAP Exclusive,Citroën,C-Crosser FAP Exclusive,8 300 EUR,2025,220000,Diesel,Manuala,SUV,21793,156
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-glc-coupe-ver-300-e-4matic-ID7HEP5w.html,Mercedes-Benz GLC Coupe 300 e 4MATIC,Mercedes-Benz,GLC Coupe 300 e 4MATIC,87 120 EUR,2025,3,Hibrid Plug-In,Automata,SUV,19993,60
https://www.autovit.ro/autoturisme/anunt/audi-a6-allroad-ver-3-0-tdi-quattro-s-tronic-ID7HD9nN.html,Audi A6 Allroad 3.0 TDI Quattro S tronic,Audi,A6 Allroad 3.0 TDI Quattro S tronic,16 577 EUR,2025,239000,Diesel,Automata,Combi,29673,272
https://www.autovit.ro/autoturisme/anunt/toyota-c-hr-ID7HI1fO.html,Toyota C-HR,Toyota,C-HR,"32 489,71 EUR",1987,2700,Hibrid,Automata,SUV,19873,197
https://www.autovit.ro/autoturisme/anunt/audi-q5-ver-40-tdi-sportback-quattro-s-tronic-s-line-ID7HuXZV.html,Audi Q5 40 TDI Sportback quattro S tronic S line,Audi,Q5 40 TDI Sportback quattro S tronic S line,40 300 EUR,2024,43916,Diesel,Automata,SUV,19683,204
https://www.autovit.ro/autoturisme/anunt/honda-cr-v-ver-2-0-hybrid-i-mmd-4wd-e-cvt-lifestyle-ID7HHMM5.html,Honda CR-V 2.0 Hybrid i-MMD 4WD E-CVT Lifestyle,Honda,CR-V 2.0 Hybrid i-MMD 4WD E-CVT Lifestyle,45 800 EUR,2024,20100,Hibrid,Automata,SUV,19933,184
https://www.autovit.ro/autoturisme/anunt/audi-a6-ver-avant-3-0-tdi-quattro-tiptronic-ID7HI16d.html,Audi A6 Avant 3.0 TDI quattro Tiptronic,Audi,A6 Avant 3.0 TDI quattro Tiptronic,16 500 EUR,2025,210000,Diesel,Automata,Combi,29673,320
https://www.autovit.ro/autoturisme/anunt/audi-q7-ver-3-0-55-tfsi-quattro-tiptronic-s-line-ID7HFtwP.html,Audi Q7 3.0 55 TFSI quattro Tiptronic S Line,Audi,Q7 3.0 55 TFSI quattro Tiptronic S Line,70 000 EUR,2027,21000,Benzina,Automata,SUV,29953,340
https://www.autovit.ro/autoturisme/anunt/toyota-rav-4-ver-2-2-d-4d-executive-ID7HI6lI.html,Toyota RAV4 2.2 D-4D Executive,Toyota,RAV4 2.2 D-4D Executive,5 500 EUR,2025,300000,Diesel,Manuala,SUV,22313,136
https://www.autovit.ro/autoturisme/anunt/peugeot-3008-ver-1-2-puretech-turbo-s-s-eat6-gt-line-ID7HHEbG.html,Peugeot 3008 1.2 PureTech Turbo S&S EAT6 GT-Line,Peugeot,3008 1.2 PureTech Turbo S&S EAT6 GT-Line,"14 699,08 EUR",2025,163453,Benzina,Automata,SUV,11993,130
https://www.autovit.ro/autoturisme/anunt/kia-carens-ver-1-7-crdi-aut-spirit-ID7HEQ8E.html,Kia Carens 1.7 CRDi Aut. Spirit,Kia,Carens 1.7 CRDi Aut. Spirit,6 199 EUR,2025,272000,Diesel,Automata,Monovolum,16853,136
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-ver-220-d-4matic-t-9g-tronic-ID7HI7zX.html,Mercedes-Benz E 220 d 4Matic T 9G-TRONIC,Mercedes-Benz,E 220 d 4Matic T 9G-TRONIC,"21 162,90 EUR",2025,189854,Diesel,Automata,Combi,19503,194
https://www.autovit.ro/autoturisme/anunt/mazda-cx-60-ID7HzSBo.html,Mazda CX-60,Mazda,CX-60,"55 190,99 EUR",2025,1,Benzina,Automata,SUV,32833,253
https://www.autovit.ro/autoturisme/anunt/bmw-x2-ID7HHYmi.html,BMW X2,BMW,X2,27 250 EUR,2025,85444,Hibrid Plug-In,Automata,SUV,14993,125
https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-sdrive18d-at-mhev-ID7HI5xy.html,BMW X3 sDrive18d AT MHEV,BMW,X3 sDrive18d AT MHEV,22 990 EUR,2019,190000,Diesel,Automata,SUV,19953,150
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HGWl0.html,Volkswagen Golf,Volkswagen,Golf,16 500 EUR,2025,155670,Diesel,Automata,Combi,19683,115
https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ID7HFPQz.html,Volvo XC 60,Volvo,XC 60,11 999 EUR,2013,225000,Diesel,Automata,SUV,24003,163
